AAA,Công ty Cổ phần Nhựa và Môi trường Xanh An Phát,NBBI
AAM,Công ty Cổ phần Thủy sản Mekong,TSAN
ABC,Công ty cổ phần Truyền thông VMG,CNTT
ABI,Công ty Cổ phần Bảo hiểm Ngân hàng Nông nghiệp,NHBH
ABT,Công ty Cổ phần Xuất nhập khẩu Thủy sản Bến Tre,TSAN
ACB,Ngân hàng Thương mại Cổ phần Á Châu,NHBH
ACC,Công ty cổ phần Bê tông Becamex,VLXD
ACL,Công ty cổ phần Xuất nhập khẩu Thủy sản Cửu Long An Giang,TSAN
ACM,CTCP Tập đoàn Khoáng sản Á Cường,KSAN
ACV,Tổng công ty Cảng hàng không Việt Nam - CTCP,HAKH
ADC,Công ty Cổ phần Mĩ thuật và Truyền thông,CNTT
AFX,Công ty Cổ phần Xuất nhập khẩu Nông sản Thực phẩm An Giang,TPHM
AGF,Công ty Cổ phần Xuất nhập khẩu Thủy sản An Giang,TSAN
AGR,Công ty Cổ phần Chứng khoán Nông nghiệp và Phát triển Nông thôn,CHKH
ALT,Công ty Cổ phần Văn hóa Tân Bình,GDUC
ALV,Công ty Cổ phần Khoáng sản Vinas A Lưới,KSAN
AMD,Công ty cổ phần Đầu tư và Khoáng sản AMD Group,KSAN
AMP,Công ty Cổ phần Armephaco,DYTE
AMV,CTCP Sản xuất Kinh doanh Dược và Trang thiết bị Y tế Việt Mỹ,DYTE
APG,Công ty Cổ phần Chứng khoán An Phát,CHKH
APP,Công ty Cổ phần Phát triển Phụ gia và Sản phẩm Dầu mỏ,DKHI
APS,Công ty Cổ phần Chứng khoán Châu Á – Thái Bình Dương,CHKH
ARM,Công ty Cổ phần Xuất nhập khẩu Hàng không,HAKH
ASM,Công ty Cổ phần Tập đoàn Sao Mai,DTXD
ASP,Công ty Cổ phần Tập đoàn Dầu khí An Pha,DKHI
AST,dịch vụ hàng không taseco,HAKH
ATA,Công ty Cổ phần NTACO,TSAN
AVF,Công ty Cổ phần Việt An,TSAN
BBC,ông ty Cổ phần Bibica,TPHM
BBS,Công ty cổ phần VICEM Bao bì Bút Sơn,NBBI
BCC,Công ty Cổ phần Xi măng Bỉm Sơn,VLXD
